Country       ,Response_measure                            ,date_start ,date_end   ,stringency_score    ,intervention_duration ,intervention_category ,stringency_category
France        ,OutdoorOver50                               ,2020-09-18 ,2020-10-15 , 20.0               ,                   27 ,Gathering             ,Low
France        ,PlaceOfWorshipPartial                       ,2020-10-28 ,2021-06-30 , 20.0               ,                  245 ,Public Space          ,Low
France        ,PrivateGatheringRestrictions                ,2020-03-17 ,2020-06-15 , 60.0               ,                   90 ,Gathering             ,Medium
France        ,PrivateGatheringRestrictions                ,2020-10-28 ,2020-12-15 , 60.0               ,                   48 ,Gathering             ,Medium
France        ,QuarantineForInternationalTravellersPartial ,2021-06-09 ,2022-03-14 , 30.0               ,                  278 ,Travel                ,Low
France        ,RegionalStayHomeOrderPartial                ,2020-10-17 ,2020-10-28 , 45.0               ,                   11 ,Lockdown              ,Low
France        ,RegionalStayHomeOrderPartial                ,2021-02-26 ,2021-03-19 , 45.0               ,                   21 ,Lockdown              ,Low
France        ,RegionalStayHomeOrderPartial                ,2021-07-30 ,2022-03-31 , 45.0               ,                  244 ,Lockdown              ,Low
France        ,RestaurantsCafes                            ,2020-03-16 ,2020-06-01 , 20.0               ,                   77 ,Business              ,Low
France        ,RestaurantsCafes                            ,2020-10-28 ,2021-05-18 , 20.0               ,                  202 ,Business              ,Low
France        ,RestaurantsCafesPartial                     ,2020-06-02 ,2020-06-15 , 20.0               ,                   13 ,Business              ,Low
France        ,RestaurantsCafesPartial                     ,2021-05-19 ,2022-03-13 , 20.0               ,                  298 ,Business              ,Low
France        ,StayHomeGen                                 ,2020-03-13 ,2020-03-15 , 20.0               ,                    2 ,Lockdown              ,Low
France        ,StayHomeOrder                               ,2020-03-17 ,2020-05-11 ,100.0               ,                   55 ,Lockdown              ,High
France        ,StayHomeOrder                               ,2020-10-29 ,2020-12-14 ,100.0               ,                   46 ,Lockdown              ,High
France        ,StayHomeOrderPartial                        ,2020-05-12 ,2020-06-02 , 50.0               ,                   21 ,Lockdown              ,Medium
France        ,StayHomeOrderPartial                        ,2020-10-17 ,2020-10-28 , 50.0               ,                   11 ,Lockdown              ,Medium
France        ,StayHomeOrderPartial                        ,2020-12-15 ,2021-06-20 , 50.0               ,                  187 ,Lockdown              ,Medium
France        ,Teleworking                                 ,2020-03-17 ,2020-05-10 , 20.0               ,                   54 ,Workplace             ,Low
France        ,Teleworking                                 ,2020-10-29 ,2021-06-08 , 20.0               ,                  222 ,Workplace             ,Low
France        ,TeleworkingPartial                          ,2020-10-19 ,2020-10-28 , 20.0               ,                    9 ,Workplace             ,Low
France        ,TeleworkingPartial                          ,2021-06-09 ,2022-03-13 , 20.0               ,                  277 ,Workplace             ,Low
France        ,WorkplaceClosures                           ,2020-03-17 ,2020-05-11 , 80.0               ,                   55 ,Workplace             ,High
Germany       ,BanOnAllEvents                              ,2020-03-23 ,2020-05-10 , 75.0               ,                   48 ,Events                ,High
Germany       ,BanOnAllEvents                              ,2020-11-02 ,2021-03-28 , 75.0               ,                  146 ,Events                ,High
Germany       ,ClosDaycare                                 ,2020-03-13 ,2020-05-14 , 20.0               ,                   62 ,Education             ,Low
Germany       ,ClosDaycarePartial                          ,2020-05-15 ,2020-07-01 , 20.0               ,                   47 ,Education             ,Low
Germany       ,ClosDaycarePartial                          ,2020-12-16 ,2021-05-31 , 20.0               ,                  166 ,Education             ,Low
Germany       ,ClosPrimPartial                             ,2020-03-13 ,2020-06-29 , 20.0               ,                  108 ,Education             ,Low
Germany       ,ClosPrimPartial                             ,2020-12-16 ,2021-08-31 , 20.0               ,                  258 ,Education             ,Low
Germany       ,ClosPubAny                                  ,2020-03-16 ,2020-03-22 , 20.0               ,                    6 ,Public Space          ,Low
Germany       ,ClosPubAnyPartial                           ,2020-03-23 ,2022-03-19 , 20.0               ,                  726 ,Public Space          ,Low
Germany       ,ClosSecPartial                              ,2020-03-13 ,2020-06-15 , 20.0               ,                   94 ,Education             ,Low
Germany       ,ClosSecPartial                              ,2020-12-16 ,2021-08-31 , 20.0               ,                  258 ,Education             ,Low
Germany       ,ClosureOfPublicTransportPartial             ,2021-11-18 ,2022-03-19 , 35.0               ,                  121 ,Transport             ,Low
Germany       ,EntertainmentVenues                         ,2020-03-16 ,2020-05-04 , 20.0               ,                   49 ,Public Space          ,Low
Germany       ,EntertainmentVenues                         ,2020-11-02 ,2021-03-07 , 20.0               ,                  125 ,Public Space          ,Low
Germany       ,EntertainmentVenuesPartial                  ,2020-05-05 ,2020-11-01 , 20.0               ,                  180 ,Public Space          ,Low
Germany       ,EntertainmentVenuesPartial                  ,2021-03-08 ,2022-03-19 , 20.0               ,                  376 ,Public Space          ,Low
Germany       ,GymsSportsCentres                           ,2020-11-02 ,2021-03-07 , 20.0               ,                  125 ,Public Space          ,Low
