,country,date,weekly_count,indicator,stringency_score
450,Croatia,2020-12-28,4531.0,cases,
451,Croatia,2020-12-28,3596.0,cases,
452,Croatia,2020-12-28,1137.0,cases,
453,Croatia,2020-12-28,9159.0,cases,
454,Croatia,2020-12-28,21161.0,cases,
455,Croatia,2020-12-28,87.0,deaths,
456,Croatia,2020-12-28,195.0,deaths,
457,Croatia,2020-12-28,18.0,deaths,
458,Croatia,2020-12-28,94.0,deaths,
459,Croatia,2020-12-28,362.0,deaths,
460,Croatia,2021-01-04,7035.0,cases,
461,Croatia,2021-01-04,6594.0,cases,
462,Croatia,2021-01-04,2155.0,cases,
463,Croatia,2021-01-04,1287.0,cases,
464,Croatia,2021-01-04,10056.0,cases,
465,Croatia,2021-01-04,17890.0,cases,
466,Croatia,2021-01-04,296.0,deaths,
467,Croatia,2021-01-04,96.0,deaths,
468,Croatia,2021-01-04,111.0,deaths,
469,Croatia,2021-01-04,9.0,deaths,
470,Croatia,2021-01-04,124.0,deaths,
471,Croatia,2021-01-04,344.0,deaths,
472,Croatia,2021-01-11,4961.0,cases,
473,Croatia,2021-01-11,9583.0,cases,
474,Croatia,2021-01-11,1424.0,cases,
475,Croatia,2021-01-11,1977.0,cases,
476,Croatia,2021-01-11,17411.0,cases,
477,Croatia,2021-01-11,27698.0,cases,
478,Croatia,2021-01-11,248.0,deaths,
479,Croatia,2021-01-11,120.0,deaths,
480,Croatia,2021-01-11,72.0,deaths,
481,Croatia,2021-01-11,11.0,deaths,
482,Croatia,2021-01-11,142.0,deaths,
483,Croatia,2021-01-11,284.0,deaths,
484,Croatia,2021-01-18,3966.0,cases,
485,Croatia,2021-01-18,12804.0,cases,
486,Croatia,2021-01-18,939.0,cases,
487,Croatia,2021-01-18,2743.0,cases,
488,Croatia,2021-01-18,25023.0,cases,
489,Croatia,2021-01-18,211.0,deaths,
490,Croatia,2021-01-18,165.0,deaths,
491,Croatia,2021-01-18,46.0,deaths,
492,Croatia,2021-01-18,18.0,deaths,
493,Croatia,2021-01-18,182.0,deaths,
494,Croatia,2021-01-25,3506.0,cases,
495,Croatia,2021-01-25,12490.0,cases,
496,Croatia,2021-01-25,669.0,cases,
497,Croatia,2021-01-25,3426.0,cases,
498,Croatia,2021-01-25,30979.0,cases,
499,Croatia,2021-01-25,200.0,deaths,
500,Croatia,2021-01-25,250.0,deaths,
501,Croatia,2021-01-25,42.0,deaths,
502,Croatia,2021-01-25,24.0,deaths,
503,Croatia,2021-01-25,280.0,deaths,
504,Croatia,2021-02-01,2976.0,cases,
505,Croatia,2021-02-01,15274.0,cases,
506,Croatia,2021-02-01,479.0,cases,
507,Croatia,2021-02-01,4647.0,cases,
508,Croatia,2021-02-01,37425.0,cases,
509,Croatia,2021-02-01,142.0,deaths,
510,Croatia,2021-02-01,254.0,deaths,
511,Croatia,2021-02-01,26.0,deaths,
512,Croatia,2021-02-01,45.0,deaths,
513,Croatia,2021-02-01,381.0,deaths,
514,Croatia,2021-02-08,2255.0,cases,
515,Croatia,2021-02-08,14836.0,cases,
516,Croatia,2021-02-08,585.0,cases,
517,Croatia,2021-02-08,6077.0,cases,
518,Croatia,2021-02-08,31628.0,cases,
519,Croatia,2021-02-08,149.0,deaths,
520,Croatia,2021-02-08,292.0,deaths,
521,Croatia,2021-02-08,18.0,deaths,
522,Croatia,2021-02-08,70.0,deaths,
523,Croatia,2021-02-08,422.0,deaths,
524,Croatia,2021-02-15,2288.0,cases,20.0
525,Croatia,2021-02-15,12547.0,cases,20.0
526,Croatia,2021-02-15,589.0,cases,20.0
527,Croatia,2021-02-15,8069.0,cases,20.0
528,Croatia,2021-02-15,32936.0,cases,20.0
529,Croatia,2021-02-15,111.0,deaths,20.0
530,Croatia,2021-02-15,328.0,deaths,20.0
531,Croatia,2021-02-15,9.0,deaths,20.0
532,Croatia,2021-02-15,60.0,deaths,20.0
533,Croatia,2021-02-15,456.0,deaths,20.0
534,Croatia,2021-02-22,3028.0,cases,
535,Croatia,2021-02-22,9321.0,cases,
536,Croatia,2021-02-22,769.0,cases,
537,Croatia,2021-02-22,7907.0,cases,
538,Croatia,2021-02-22,27721.0,cases,
539,Croatia,2021-02-22,97.0,deaths,
540,Croatia,2021-02-22,287.0,deaths,
541,Croatia,2021-02-22,11.0,deaths,
542,Croatia,2021-02-22,95.0,deaths,
543,Croatia,2021-02-22,459.0,deaths,
544,Croatia,2021-03-01,3541.0,cases,20.0
545,Croatia,2021-03-01,5896.0,cases,20.0
546,Croatia,2021-03-01,1026.0,cases,20.0
547,Croatia,2021-03-01,8808.0,cases,20.0
548,Croatia,2021-03-01,23165.0,cases,20.0
549,Croatia,2021-03-01,64.0,deaths,20.0
550,Croatia,2021-03-01,239.0,deaths,20.0
551,Croatia,2021-03-01,7.0,deaths,20.0
552,Croatia,2021-03-01,83.0,deaths,20.0
553,Croatia,2021-03-01,401.0,deaths,20.0
554,Croatia,2021-12-27,9558.0,cases,
555,Croatia,2021-12-27,2782.0,cases,
556,Croatia,2021-12-27,122.0,deaths,
557,Croatia,2021-12-27,36.0,deaths,
